index,distribution
eQ91p0tvNP0-18,"[0.20622475693610814, 0.001172208646524418, 0.058463296103351034, 0.02294251148199888, 0.06706250059788017, 0.09915893490382738, 0.17682615663066048, 0.08155037610186251, 0.04583788951367029, 0.24076136908411702]"
eQ91p0tvNP0-19,"[0.00010158550830212498, 0.0001731946253576675, 0.188794240525373, 5.757841947744264e-05, 0.1095033982078253, 0.013514888711002069, 0.18775671994284973, 0.2145039470820125, 0.0004650998924182348, 0.2851293470853821]"
eQ91p0tvNP0-20,"[0.08420143144077279, 0.05183150403999984, 0.05036895140993944, 0.001397793565830514, 0.06189684121535249, 0.1348775381437475, 0.27119489064612673, 0.13866323542043466, 0.049266456663590155, 0.15630135745420598]"
eQ91p0tvNP0-21,"[0.04301889591783576, 0.03607146192974588, 0.17238057368208645, 0.015039627940776604, 0.2486541251660466, 0.10504918105401786, 0.08622863796217864, 0.15284088670815432, 0.08140998364053234, 0.05930662599862557]"
eQ91p0tvNP0-22,"[0.002631088862988108, 0.07105916848254124, 0.16020524145189313, 0.018562432752271756, 0.10908593255205513, 0.1631852663558681, 0.09783892819409627, 0.13347547991540412, 0.002839208422905063, 0.24111725300997727]"
eQ91p0tvNP0-23,"[0.10912661859807483, 5.888269328034103e-05, 0.12083709650268021, 0.06549880829169435, 0.03764331867536, 0.08554152146724088, 0.266196126952966, 0.1345125061304666, 0.00598176672329287, 0.17460335396494397]"
eQ91p0tvNP0-24,"[0.1697637952738185, 0.05894323671749147, 0.043161896666358286, 0.07752899047603322, 0.061409522771047574, 0.18582845397424877, 0.15004786607276263, 0.028106617106985903, 0.05136706346120697, 0.1738425574800465]"
eQ91p0tvNP0-25,"[0.13975771934877798, 5.804155921333747e-05, 0.060589953800606375, 0.061604649669791116, 0.0684446245431828, 0.0889164646830794, 0.20352677091716811, 0.09687837216200944, 9.453812979137725e-05, 0.2801288651863799]"
eQ91p0tvNP0-26,"[0.05055580512767964, 0.0654116414152449, 0.1265733264562977, 0.05205561037142774, 0.030538422276152326, 0.1485002410585949, 0.08296493338570068, 0.06839688055807581, 0.055398657543484005, 0.3196044818073422]"
eQ91p0tvNP0-27,"[0.0679575844042921, 0.06243730906857064, 0.0011751216939413188, 0.07601378807392517, 0.0005302474377354102, 0.08045719926775687, 0.17193186291221643, 0.1858536347437649, 0.04037172667723651, 0.31327152572056066]"
